k,cv_accuracy
3,0.4613685344827586
5,0.4990301724137931
7,0.51875
9,0.522521551724138
11,0.5265625
13,0.5064116379310345
15,0.5164331896551724
17,0.5259698275862069
19,0.5309806034482759
21,0.5325431034482758
23,0.5375538793103448
25,0.5400862068965517
27,0.5469288793103448
29,0.5512931034482759
31,0.5497306034482758
